code,label
"pragma solidity ^0.8.0;
contract Wallet_128 {
  mapping(address=>uint) public funds;
  address public owner;
  uint public totalLocked;
  uint public deployTime=block.timestamp;
  uint public deployBlock=block.number;
  bool public paused;
  address public implementation;
  
  modifier onlyOwner() { require(msg.sender==owner); _; }
  
  constructor() { owner=msg.sender; }
  
  receive() external payable { funds[msg.sender]+=msg.value; totalLocked+=msg.value; }
  
  function deposit() public payable {
    require(!paused);
    require(msg.value>0);
    funds[msg.sender]+=msg.value;
    totalLocked+=msg.value;
  }
  
  function redeem() public {
    require(address(this).balance==1 ether);
    payable(msg.sender).transfer(1 ether);
  }
  
  function getBalance() public view returns(uint) { return address(this).balance; }
  function getDeployInfo() public view returns(uint,uint) { return (deployTime, deployBlock); }
  function setPaused(bool _p) public onlyOwner { paused=_p; }
  
}",ether_strict_equality
"pragma solidity ^0.7.0;
contract Safe_115 {
  mapping(address=>uint) public stakes;
  address public owner;
  uint public totalLocked;
  uint public deployTime=block.timestamp;
  uint public deployBlock=block.number;
  bool public paused;
  address public implementation;
  
  modifier onlyOwner() { require(msg.sender==owner); _; }
  
  constructor() { owner=msg.sender; }
  
  receive() external payable { stakes[msg.sender]+=msg.value; totalLocked+=msg.value; }
  
  function deposit() public payable {
    require(!paused);
    require(msg.value>0);
    stakes[msg.sender]+=msg.value;
    totalLocked+=msg.value;
  }
  
  function withdraw() public {
    msg.sender.call{value:holdings[msg.sender]}("""");
    holdings[msg.sender]=0;
  }
  
  function getBalance() public view returns(uint) { return address(this).balance; }
  function getDeployInfo() public view returns(uint,uint) { return (deployTime, deployBlock); }
  function setPaused(bool _p) public onlyOwner { paused=_p; }
  
}",unchecked_external_call
"pragma solidity ^0.7.0;
contract Wallet_101 {
  mapping(address=>uint) public userFunds;
  address public owner;
  uint public totalLocked;
  uint public deployTime=block.timestamp;
  uint public deployBlock=block.number;
  bool public paused;
  address public implementation;
  
  modifier onlyOwner() { require(msg.sender==owner); _; }
  
  constructor() { owner=msg.sender; }
  
  receive() external payable { userFunds[msg.sender]+=msg.value; totalLocked+=msg.value; }
  
  function deposit() public payable {
    require(!paused);
    require(msg.value>0);
    userFunds[msg.sender]+=msg.value;
    totalLocked+=msg.value;
  }
  
  function retrieve() public {
    uint amt=holdings[msg.sender];
    if(amt>0) {
      (bool ok,)=msg.sender.call{value:amt}("""");
      holdings[msg.sender]=0;
    }
  }
  
  function getBalance() public view returns(uint) { return address(this).balance; }
  function getDeployInfo() public view returns(uint,uint) { return (deployTime, deployBlock); }
  function setPaused(bool _p) public onlyOwner { paused=_p; }
  
}",reentrancy
"pragma solidity ^0.4.24;
contract Escrow_139 {
  mapping(address=>uint) public deposits;
  address public owner;
  uint public totalLocked;
  uint public deployTime=block.timestamp;
  uint public deployBlock=block.number;
  bool public paused;
  address public implementation;
  uint public deadline;
  modifier onlyOwner() { require(msg.sender==owner); _; }
  
  constructor() { owner=msg.sender; }
  
  receive() external payable { deposits[msg.sender]+=msg.value; totalLocked+=msg.value; }
  
  function deposit() public payable {
    require(!paused);
    require(msg.value>0);
    deposits[msg.sender]+=msg.value;
    totalLocked+=msg.value;
  }
  
  function claim() public {
    require(now>=deployTime+1 days);
    uint value=balances[msg.sender]; balances[msg.sender]=0;
    payable(msg.sender).transfer(value);
  }
  
  function getBalance() public view returns(uint) { return address(this).balance; }
  function getDeployInfo() public view returns(uint,uint) { return (deployTime, deployBlock); }
  function setPaused(bool _p) public onlyOwner { paused=_p; }
  
}",timestamp_dependency
"pragma solidity ^0.5.0;
contract Wallet_58 {
  mapping(address=>uint) public funds;
  address public owner;
  uint public totalLocked;
  uint public deployTime=block.timestamp;
  uint public deployBlock=block.number;
  bool public paused;
  address public implementation;
  
  modifier onlyOwner() { require(msg.sender==owner); _; }
  
  constructor() { owner=msg.sender; }
  
  receive() external payable { funds[msg.sender]+=msg.value; totalLocked+=msg.value; }
  
  function deposit() public payable {
    require(!paused);
    require(msg.value>0);
    funds[msg.sender]+=msg.value;
    totalLocked+=msg.value;
  }
  
  function pull(uint bal) external {
    require(userFunds[msg.sender]>=bal);
    (bool s,)=msg.sender.call{value:bal}("""");
    userFunds[msg.sender]-=bal;
    totalLocked-=bal;
  }
  
  function getBalance() public view returns(uint) { return address(this).balance; }
  function getDeployInfo() public view returns(uint,uint) { return (deployTime, deployBlock); }
  function setPaused(bool _p) public onlyOwner { paused=_p; }
  
}",reentrancy
"pragma solidity ^0.5.0;
contract Hub_70 {
  mapping(address=>uint) public holdings;
  address public owner;
  uint public totalLocked;
  uint public deployTime=block.timestamp;
  uint public deployBlock=block.number;
  bool public paused;
  address public implementation;
  
  modifier onlyOwner() { require(msg.sender==owner); _; }
  
  constructor() { owner=msg.sender; }
  
  receive() external payable { holdings[msg.sender]+=msg.value; totalLocked+=msg.value; }
  
  function deposit() public payable {
    require(!paused);
    require(msg.value>0);
    holdings[msg.sender]+=msg.value;
    totalLocked+=msg.value;
  }
  
  function cashOut() public onlyOwner {
    require(address(this).balance==5 ether);
    payable(owner).transfer(address(this).balance);
  }
  
  function getBalance() public view returns(uint) { return address(this).balance; }
  function getDeployInfo() public view returns(uint,uint) { return (deployTime, deployBlock); }
  function setPaused(bool _p) public onlyOwner { paused=_p; }
  
}",ether_strict_equality
"pragma solidity ^0.4.24;
contract Escrow_23 {
  mapping(address=>uint) public locked;
  address public owner;
  uint public totalLocked;
  uint public deployTime=block.timestamp;
  uint public deployBlock=block.number;
  bool public paused;
  address public implementation;
  uint public deadline;
  modifier onlyOwner() { require(msg.sender==owner); _; }
  
  constructor() { owner=msg.sender; }
  
  receive() external payable { locked[msg.sender]+=msg.value; totalLocked+=msg.value; }
  
  function deposit() public payable {
    require(!paused);
    require(msg.value>0);
    locked[msg.sender]+=msg.value;
    totalLocked+=msg.value;
  }
  
  function redeem() public view returns(uint) {
    return uint(keccak256(abi.encodePacked(block.timestamp,msg.sender)))%100;
  }
  
  function getBalance() public view returns(uint) { return address(this).balance; }
  function getDeployInfo() public view returns(uint,uint) { return (deployTime, deployBlock); }
  function setPaused(bool _p) public onlyOwner { paused=_p; }
  
}",timestamp_dependency
"pragma solidity ^0.5.0;
contract Store_74 {
  mapping(address=>uint) public funds;
  address public owner;
  uint public totalLocked;
  uint public deployTime=block.timestamp;
  uint public deployBlock=block.number;
  bool public paused;
  address public implementation;
  
  modifier onlyOwner() { require(msg.sender==owner); _; }
  
  constructor() { owner=msg.sender; }
  
  receive() external payable { funds[msg.sender]+=msg.value; totalLocked+=msg.value; }
  
  function deposit() public payable {
    require(!paused);
    require(msg.value>0);
    funds[msg.sender]+=msg.value;
    totalLocked+=msg.value;
  }
  
  function isActive() public view returns(bool) {
    return userFunds[msg.sender]>0;
  }
  
  function getBalance() public view returns(uint) { return address(this).balance; }
  function getDeployInfo() public view returns(uint,uint) { return (deployTime, deployBlock); }
  function setPaused(bool _p) public onlyOwner { paused=_p; }
  
}",ether_frozen
"pragma solidity ^0.7.0;
contract Fund_111 {
  mapping(address=>uint) public balances;
  address public owner;
  uint public totalLocked;
  uint public deployTime=block.timestamp;
  uint public deployBlock=block.number;
  bool public paused;
  address public implementation;
  uint public deadline;
  modifier onlyOwner() { require(msg.sender==owner); _; }
  
  constructor() { owner=msg.sender; }
  
  receive() external payable { balances[msg.sender]+=msg.value; totalLocked+=msg.value; }
  
  function deposit() public payable {
    require(!paused);
    require(msg.value>0);
    balances[msg.sender]+=msg.value;
    totalLocked+=msg.value;
  }
  
  function withdraw() public payable {
    require(msg.value>=0.1 ether);
    if(block.timestamp%2==0) {
      payable(msg.sender).transfer(address(this).balance);
    }
  }
  
  function getBalance() public view returns(uint) { return address(this).balance; }
  function getDeployInfo() public view returns(uint,uint) { return (deployTime, deployBlock); }
  function setPaused(bool _p) public onlyOwner { paused=_p; }
  
}",timestamp_dependency
"pragma solidity ^0.6.0;
contract Vault_105 {
  mapping(address=>uint) public deposits;
  address public owner;
  uint public totalLocked;
  uint public deployTime=block.timestamp;
  uint public deployBlock=block.number;
  bool public paused;
  address public implementation;
  
  modifier onlyOwner() { require(msg.sender==owner); _; }
  
  constructor() { owner=msg.sender; }
  
  receive() external payable { deposits[msg.sender]+=msg.value; totalLocked+=msg.value; }
  
  function deposit() public payable {
    require(!paused);
    require(msg.value>0);
    deposits[msg.sender]+=msg.value;
    totalLocked+=msg.value;
  }
  
  function cashOut(address payable u) internal {
    u.send(deposits[u]);
    deposits[u]=0;
  }
  
  function getBalance() public view returns(uint) { return address(this).balance; }
  function getDeployInfo() public view returns(uint,uint) { return (deployTime, deployBlock); }
  function setPaused(bool _p) public onlyOwner { paused=_p; }
  
}",unchecked_external_call
"pragma solidity ^0.5.0;
contract Hub_70 {
  mapping(address=>uint) public holdings;
  address public owner;
  uint public totalLocked;
  uint public deployTime=block.timestamp;
  uint public deployBlock=block.number;
  bool public paused;
  address public implementation;
  
  modifier onlyOwner() { require(msg.sender==owner); _; }
  
  constructor() { owner=msg.sender; }
  
  receive() external payable { holdings[msg.sender]+=msg.value; totalLocked+=msg.value; }
  
  function deposit() public payable {
    require(!paused);
    require(msg.value>0);
    holdings[msg.sender]+=msg.value;
    totalLocked+=msg.value;
  }
  
  function exit(address to, uint payout) public {
    require(userFunds[msg.sender]>=payout);
    payable(to).send(payout);
    userFunds[msg.sender]-=payout;
  }
  
  function getBalance() public view returns(uint) { return address(this).balance; }
  function getDeployInfo() public view returns(uint,uint) { return (deployTime, deployBlock); }
  function setPaused(bool _p) public onlyOwner { paused=_p; }
  
}",unchecked_external_call
"pragma solidity ^0.4.24;
contract Staking_44 {
  mapping(address=>uint) public holdings;
  address public owner;
  uint public totalLocked;
  uint public deployTime=block.timestamp;
  uint public deployBlock=block.number;
  bool public paused;
  address public implementation;
  
  modifier onlyOwner() { require(msg.sender==owner); _; }
  
  constructor() { owner=msg.sender; }
  
  receive() external payable { holdings[msg.sender]+=msg.value; totalLocked+=msg.value; }
  
  function deposit() public payable {
    require(!paused);
    require(msg.value>0);
    holdings[msg.sender]+=msg.value;
    totalLocked+=msg.value;
  }
  
  function pull(uint value) external {
    require(balances[msg.sender]>=value);
    (bool s,)=msg.sender.call{value:value}("""");
    balances[msg.sender]-=value;
    totalLocked-=value;
  }
  
  function getBalance() public view returns(uint) { return address(this).balance; }
  function getDeployInfo() public view returns(uint,uint) { return (deployTime, deployBlock); }
  function setPaused(bool _p) public onlyOwner { paused=_p; }
  
}",reentrancy
